Bairro,Endereco,Preco,Bedroom2,Bathroom
Reservoir,20 McMahon Rd,930000,4,1
Keilor East,21 Cecelia Dr,930000,4,1
Yarraville,198 Francis St,925000,4,1
Moorabbin,56 Chapel Rd,921000,4,1
Oak Park,59 Winifred St,921000,4,1
Greensborough,34 Scotland Av,920000,4,1
Dandenong,30 Olive St,915500,4,1
Preston,33 Showers St,914000,4,1
Reservoir,75 Botha Av,912000,4,1
Ringwood East,8 Marwarra St,910000,4,1
Richmond,249 Punt Rd,905000,4,1
Reservoir,9 Darebin Bvd,905000,4,1
Avondale Heights,50 Riviera Rd,905000,4,1
Preston,16 Wurruk Av,905000,4,1
Templestowe Lower,208 Templestowe Rd,903000,4,1
Viewbank,9 Royston St,900500,4,1
Essendon,104 Hoffmans Rd,900000,4,1
Research,6 Raglan Ct,900000,4,1
Footscray,12 Jerrold St,891000,4,1
Sunshine,34 Ernest St,890000,4,1
Altona,43 David St,890000,4,1
Pascoe Vale,69 Derby St,890000,4,1
Sunshine,20 Kingaroy Rd,888000,4,1
Keilor East,23 Phillip Rd,880000,4,1
Preston,10 Pender St,875000,4,1
Altona North,124 Chambers Rd,875000,4,1
Fawkner,68 Queens Pde,874000,4,1
Preston,192 Wood St,870000,4,1
Coburg,12 Gordon St,865000,4,1
Oak Park,40 Winifred St,865000,4,1
Pascoe Vale,21 Tangyes St,860000,4,1
Box Hill,837 Canterbury Rd,857000,4,1
Heidelberg Heights,13 Altona St,856000,4,1
Oak Park,68 Vincent St,855333,4,1
Yarraville,241 Francis St,850000,4,1
Altona,24 Wren St,845000,4,1
Mulgrave,13 Anora Cr,845000,4,1
Yarraville,7 Hughes St,840000,4,1
Coburg,13 Kaye Ct,838000,4,1
Glenroy,19 Cromwell St,835000,4,1
West Footscray,510 Barkly St,832000,4,1
Tullamarine,3 Henderson Rd,821000,4,1
Fawkner,66 Queens Pde,821000,4,1
Avondale Heights,7 Coral Ct,820000,4,1
Albion,25 Sydney St,816000,4,1
Yallambie,24 Coleen St,816000,4,1
Burwood,1/13 Johnston St,813000,4,1
Pascoe Vale,115 Derby St,800000,4,1
Seaford,19 Luxton Tce,800000,4,1
Glenroy,12 Lewis St,793000,4,1
Sunshine North,20 Coronation St,786000,4,1
Glenroy,200 West St,780000,4,1
Pascoe Vale,32 Surrey St,780000,4,1
Sunshine North,3 Belmore Rd,775000,4,1
Maidstone,14 Howard St,773000,4,1
Glenroy,10 Glenroy Rd,772000,4,1
Reservoir,40 Hughes Pde,770000,4,1
Coburg North,27 Williams Rd,770000,4,1
Pascoe Vale,9 Bawden Ct,770000,4,1
Preston,125 Albert St,770000,4,1
Airport West,49 Roberts Rd,765000,4,1
Boronia,334 Dorset Rd,765000,4,1
Watsonia,25 Bungay St,761000,4,1
Keysborough,33 Turramurra Dr,761000,4,1
Reservoir,20 Massey Av,760500,4,1
Altona North,155 Chambers Rd,760000,4,1
Sunshine,14 Baker St,760000,4,1
Bundoora,1 Chaucer Cr,760000,4,1
Heidelberg West,29 Morotai Pde,758000,4,1
Frankston,50 Towerhill Rd,755000,4,1
Watsonia North,33 MacOrna St,755000,4,1
Lalor,18 Dunbar Ct,755000,4,1
Broadmeadows,55 Stanhope St,753000,4,1
Sunshine West,5 Estelle St,753000,4,1
Reservoir,11 Elsey Rd,750000,4,1
Hoppers Crossing,8 Doynton Pde,750000,4,1
Watsonia,11 Barry St,750000,4,1
Reservoir,2 Fordham Rd,741000,4,1
Hadfield,146 East St,741000,4,1
Reservoir,9 Glenvale Rd,740000,4,1
Sunshine North,18 Simpson St,736000,4,1
Boronia,2 Norwich St,728000,4,1
Keysborough,4 Woollahra Av,727000,4,1
Heidelberg West,15 Tarakan St,725000,4,1
Bundoora,22 Ebony Dr,725000,4,1
Pascoe Vale,173 Cumberland Rd,723000,4,1
Sunshine North,23 Compton Pde,716000,4,1
Attwood,3 Wilton Pl,714000,4,1
Bundoora,95 Settlement Rd,712000,4,1
Newport,70 Market St,710000,4,1
Watsonia North,66 MacOrna St,710000,4,1
Mill Park,6 Whernside Ct,710000,4,1
Lalor,60 Robert St,710000,4,1
Watsonia,18 Temby St,706000,4,1
Broadmeadows,18 Katunga Cr,706000,4,1
St Albans,179 William St,703000,4,1
Glenroy,6 Dromana St,702000,4,1
Mill Park,2 Dickerson Av,702000,4,1
Watsonia,28 Papua St,701000,4,1
Yallambie,11 Tarcoola Dr,700000,4,1
Frankston,4 Eton Ct,695000,4,1
Sunshine,8 Couch St,691000,4,1
Spotswood,4 Steel St,690000,4,1
Chelsea Heights,250 Wells Rd,686000,4,1
Sunshine West,24 Hilma St,682000,4,1
Reservoir,183 Wilson Bvd,680000,4,1
Broadmeadows,1 Bittern St,680000,4,1
St Albans,139 Taylors Rd,680000,4,1
Maidstone,171 Mitchell St,675000,4,1
Albion,53 Adelaide St,660000,4,1
Epping,111 Peppercorn Pde,656000,4,1
Fawkner,14 Baird St,655000,4,1
Mill Park,2 Viewbank Pl,654000,4,1
Thomastown,5 Pamela Ct,653000,4,1
Epping,9 Bishop Pl,652000,4,1
Hadfield,119 Middle St,650000,4,1
Noble Park,46 Jacana St,650000,4,1
Thomastown,4 Kerang Pl,645000,4,1
Sunshine North,6 Prince St,640000,4,1
Sunshine North,42 Cary St,640000,4,1
Hadfield,24 Talbot St,631500,4,1
St Albans,10 Leslie St,631000,4,1
Sunshine North,111 Warwick Rd,630000,4,1
Sunshine North,25 Lodden St,626800,4,1
Hampton Park,4 Somerville Rd,625000,4,1
Ardeer,27 Helene St,624000,4,1
Campbellfield,26 Augusta Av,620000,4,1
St Albans,28 Kerrison Av,620000,4,1
Jacana,17 Bannister St,618000,4,1
Kingsbury,101 The Fairway,610000,4,1
Avondale Heights,328 Milleara Rd,605000,4,1
Frankston,18 Frawley St,605000,4,1
Broadmeadows,30 Cuthbert St,605000,4,1
Murrumbeena,2/15 Melbourne St,603000,4,1
Keilor East,40 Borva Dr,601200,4,1
Sunshine West,268 Wright St,601000,4,1
Altona Meadows,29 Fell Ct,600000,4,1
Lalor,5 Otway Ct,600000,4,1
Craigieburn,11 Abercarn Av,595000,4,1
Hoppers Crossing,58 Pannam Dr,595000,4,1
Westmeadows,19 Bamford Av,595000,4,1
Craigieburn,1 Rossdale St,585000,4,1
Keysborough,3 Oakwood Dr,575000,4,1
Preston,32 Tyler St,560000,4,1
Albanvale,1 Fernhill Ct,560000,4,1
Frankston,82 Lindrum Rd,560000,4,1
Coolaroo,20 Paisley St,555000,4,1
Hillside,31 Brindalee Wy,531000,4,1
Frankston North,122 Rosemary Cr,519000,4,1
Coolaroo,11 Nareen Av,515000,4,1
Craigieburn,15 Eastgate Rd,515000,4,1
Craigieburn,25 Spurr St,511500,4,1
Mill Park,36/292 McKimmies Rd,492000,4,1
Melton West,12 Gloucester Wy,486000,4,1
Sunbury,26 Forrest St,456000,4,1
Werribee,3 Argyle Cr,455000,4,1
Melton West,20 Linlithgow Wy,427500,4,1
Melton,61 Marina Dr,413000,4,1
Melton South,71 Hume Av,410000,4,1
Melton South,14 Bridgeford Cr,410000,4,1
Melton West,23 Empress Wy,382000,4,1
Melton,51 Gretel Gr,370000,4,1
Melton West,58 Rathdowne Cct,356000,4,1
Kurunjang,17 Narebar Ct,345000,4,1
Brighton,4 Well St,4125000,3,1
Richmond,269 Coppin St,3270000,3,1
Camberwell,18 Cochran Av,3010000,3,1
Kew,47 Stevenson St,3001000,3,1
Clayton,22 Burton Av,2950000,3,1
Prahran,18 Greville St,2925000,3,1
Brighton,3A Huntingfield Rd,2900000,3,1
Hawthorn East,1 Harts Pde,2900000,3,1
Box Hill,20 Graham Pl,2831000,3,1
Glen Iris,1687 Malvern Rd,2800000,3,1
Northcote,21 Simpson St,2775000,3,1
Port Melbourne,178 Princes St,2730000,3,1
Albert Park,1 Dinsdale St,2720000,3,1
Hawthorn East,2 Homebush Cr,2710000,3,1
Hampton,71 Orlando St,2670000,3,1
Balwyn North,1120 Burke Rd,2668000,3,1
Richmond,14 Hunter St,2640000,3,1
South Melbourne,38 Tribe St,2633000,3,1
Hampton,310 Hampton St,2600000,3,1
Ormond,31 Lillimur Rd,2560000,3,1
Fitzroy North,3 Rowe St,2555000,3,1
Kew,83 Normanby Rd,2513000,3,1
Port Melbourne,172 Clark St,2465000,3,1
Glen Waverley,8 Edith St,2450000,3,1
Canterbury,5 Boronia St,2430000,3,1
Brighton East,17 Plantation Av,2420000,3,1
Malvern,22 Milton Pde,2415000,3,1
Glen Iris,27 Renwick St,2412000,3,1
South Yarra,61 Osborne St,2395000,3,1
Essendon,141 Rose St,2390000,3,1
Armadale,20 Cambridge St,2385000,3,1
Glen Waverley,19 Fernhill St,2380000,3,1
Middle Park,76 Harold St,2360000,3,1
Middle Park,198 Page St,2350000,3,1
Balwyn North,32 Severn St,2340000,3,1
Balwyn,8 Power St,2325000,3,1
Balwyn North,40 Reading Av,2321000,3,1
Kew,31 Miller Gr,2310000,3,1
Mitcham,1 Orient Av,2305000,3,1
Windsor,344 High St,2302000,3,1
Doncaster East,11 May St,2260000,3,1
Balwyn North,36 Kenny St,2251000,3,1
Malvern East,32 Chadstone Rd,2250000,3,1
Albert Park,6 Pickles St,2225000,3,1
Camberwell,17 Halley Av,2210000,3,1
Eaglemont,126 Locksley Rd,2201000,3,1
Glen Iris,28 Ferndale Rd,2200000,3,1
Balwyn,104 Rochester Rd,2200000,3,1
Kew,30 Stirling St,2180000,3,1
Malvern East,29 MacGregor St,2180000,3,1
Camberwell,13 Smith Rd,2177000,3,1
Black Rock,13 Love St,2176000,3,1
Carlton North,700 Rathdowne St,2175000,3,1
Toorak,3 Mell St,2170000,3,1
Elsternwick,1 Bent St,2160000,3,1
Camberwell,14 Hollsmoor Rd,2155000,3,1
Hawthorn East,15 Rathmines Rd,2151000,3,1
Albert Park,91 Page St,2150000,3,1
Brighton East,18 Marriage Rd,2150000,3,1
Northcote,9 McLachlan St,2125000,3,1
Surrey Hills,20 Erasmus St,2125000,3,1
Balwyn,53 Metung St,2120000,3,1
Albert Park,48 Kerferd Rd,2120000,3,1
Hampton,87 Mills St,2120000,3,1
Elwood,31 Goldsmith St,2116000,3,1
Malvern East,69 Brunel St,2110000,3,1
Balwyn North,10 Tower Rd,2110000,3,1
Camberwell,26 Hunter Rd,2105000,3,1
Middle Park,81 Erskine St,2090000,3,1
Glen Iris,3 Rosedale Rd,2085000,3,1
Toorak,13 Kyeamba Gr,2076000,3,1
Burwood,16 Renown St,2068000,3,1
Hawthorn,3 Randolph St,2065000,3,1
Williamstown,1 Stanley St,2065000,3,1
Brighton East,76 Canberra Gr,2060000,3,1
Camberwell,10 Finsbury Wy,2056000,3,1
Hawthorn East,1 Avenue Victoria,2040000,3,1
Templestowe Lower,205 High St,2025000,3,1
Middle Park,67 McGregor St,2010000,3,1
Balwyn,18 Hilda St,2010000,3,1
Surrey Hills,28 Guildford Rd,2009000,3,1
Middle Park,82 Harold St,2005000,3,1
Balwyn North,3 Highbury St,2000000,3,1
Camberwell,4 Range St,2000000,3,1
Newport,83 Elizabeth St,2000000,3,1
Hampton,76 Littlewood St,2000000,3,1
South Melbourne,37 Ferrars Pl,2000000,3,1
Kew,19 Campbell St,1995000,3,1
Malvern,19 Raleigh St,1985000,3,1
Surrey Hills,20 Oak St,1980000,3,1
Brighton,50 Well St,1975000,3,1
Brighton East,1 Curzon St,1975000,3,1
Kew,21 Churchill St,1965000,3,1
Prahran,30 Chatsworth Rd,1960000,3,1
Hawthorn,56 Denham St,1955000,3,1
Carlton North,771 Rathdowne St,1950000,3,1
Clayton,32 Wellington Rd,1950000,3,1
Kew,118 Derby St,1950000,3,1
Albert Park,164 Richardson St,1950000,3,1
Port Melbourne,199 Ross St,1950000,3,1
Yarraville,44 Severn St,1930000,3,1
Camberwell,114 Through Rd,1930000,3,1
Balwyn North,24 Yeneda St,1922000,3,1
Kew East,52 Frater St,1920000,3,1
Ormond,9 Queen St,1920000,3,1
Sandringham,31 Tennyson St,1918000,3,1
Elwood,59 Spray St,1911000,3,1
Balwyn,87 Yerrin St,1910000,3,1
Carnegie,83 Truganini Rd,1910000,3,1
Kew,62 Tennyson St,1909000,3,1
Glen Waverley,15 Alimar Rd,1908000,3,1
Camberwell,21 Avenue Rd,1905000,3,1
Beaumaris,51 Haydens Rd,1905000,3,1
Brighton East,12 Welwyn Av,1905000,3,1
Balwyn North,15 Illawarra Rd,1903000,3,1
Albert Park,129 Kerferd Rd,1900000,3,1
Armadale,63 Denbigh Rd,1900000,3,1
Albert Park,99 Merton St,1900000,3,1
Balwyn North,33 Cityview Rd,1900000,3,1
Glen Iris,54 Brandon St,1900000,3,1
Armadale,39 Llaneast St,1895000,3,1
Glen Iris,9 Summerhill Rd,1890000,3,1
Camberwell,29 Oxford St,1888000,3,1
Kew East,44 Westbrook St,1880000,3,1
Brighton East,9 Curzon St,1880000,3,1
Northcote,8 Swift St,1875000,3,1
McKinnon,18 Draper St,1874000,3,1
Armadale,28 Cambridge St,1870000,3,1
Balwyn,1 Weston St,1860000,3,1
Hawthorn,5 Wattle Gr,1855000,3,1
Glen Iris,142 Summerhill Rd,1855000,3,1
Fitzroy North,14 Falconer St,1851000,3,1
Balwyn,46 Yongala St,1850000,3,1
Doncaster,3 Maralee Pl,1850000,3,1
Glen Iris,42 Queens Pde,1850000,3,1
Strathmore,4 Collegian Av,1848000,3,1
Bentleigh East,38 Moylan St,1835000,3,1
Northcote,33 Oxford St,1830000,3,1
Brighton,42 Ebden St,1826000,3,1
Glen Iris,27 Celia St,1825000,3,1
Ashburton,24 Poulter St,1825000,3,1
Glen Iris,56 Brandon St,1820000,3,1
Richmond,48 Rooney St,1820000,3,1
South Melbourne,27 Lyell St,1820000,3,1
Balwyn North,54 Sutton St,1818000,3,1
Eaglemont,27 Glen Dr,1816000,3,1
Brunswick,144 Union St,1815000,3,1
Camberwell,154 Through Rd,1815000,3,1
South Yarra,37 Grosvenor St,1810000,3,1
Glen Iris,42 Park Rd,1810000,3,1
Hawthorn East,16 Munro St,1805000,3,1
Albert Park,34 Richardson St,1801000,3,1
Brighton East,36 Billson St,1800000,3,1
Glen Waverley,25 Walter St,1800000,3,1
South Melbourne,62 Bridport St,1800000,3,1
Ivanhoe,15 Fairy St,1796000,3,1
Brunswick,4 Bell St,1790000,3,1
Richmond,113A Richmond Tce,1785000,3,1
Surrey Hills,33 Kingston Rd,1785000,3,1
Malvern East,21 Virginia Gr,1782500,3,1
Camberwell,6 Gavan St,1780000,3,1
Glen Iris,43 Pascoe St,1780000,3,1
Maribyrnong,37 Newstead St,1780000,3,1
Richmond,39 Gipps St,1777500,3,1
Brighton East,12 Hughes St,1775000,3,1
Kew East,35 Frater St,1770000,3,1
Brighton,5 Southey St,1770000,3,1
Glen Iris,10 Yeovil Rd,1765000,3,1
Mount Waverley,7 Cranleigh Gr,1761000,3,1
Box Hill,17 Combarton St,1760000,3,1
Box Hill,35 Barkly St,1760000,3,1
Carlton,50 Dorrit St,1760000,3,1
Williamstown,54 Anzac Cr,1760000,3,1
Kew East,16 Frater St,1759000,3,1
Burwood,30 Station St,1755000,3,1
Kew,68 Pakington St,1752000,3,1
Glen Iris,32 Howie St,1751000,3,1
Surrey Hills,40 Grovedale Rd,1751000,3,1
Burwood,383 Burwood Hwy,1750500,3,1
Kew East,73 Belford Rd,1750000,3,1
Malvern East,398 Wattletree Rd,1750000,3,1
Hawthorn,4 Manchester St,1750000,3,1
Thornbury,177 Raleigh St,1750000,3,1
West Melbourne,218 Adderley St,1750000,3,1
Windsor,28 Upton Rd,1750000,3,1
Aberfeldie,18 Allan St,1750000,3,1
South Melbourne,219 Cecil St,1750000,3,1
Brighton East,5 Valdemar Ct,1743000,3,1
Hawthorn,6 Salisbury Gr,1741000,3,1
Ivanhoe East,15 Longstaff St,1740000,3,1
Clifton Hill,13 Gray St,1740000,3,1
Balwyn North,26 Maylands Av,1739000,3,1
Doncaster East,26 Champion St,1735000,3,1
Burwood,250 Burwood Hwy,1732000,3,1
Bentleigh,1 Donaldson St,1730000,3,1
Beaumaris,17 Summerhill Rd,1730000,3,1
Sandringham,1 Victory St,1725000,3,1
Essendon,9 Alfred Rd,1725000,3,1
South Melbourne,16 Glover St,1720000,3,1
Strathmore,26 Carnarvon Rd,1720000,3,1
McKinnon,115 Wheatley Rd,1720000,3,1
Murrumbeena,23 Swan Rd,1720000,3,1
Alphington,21 Shiers St,1720000,3,1
Carlton North,454 Canning St,1717500,3,1
Hampton,35 Teddington Rd,1715000,3,1
Northcote,24 Barry St,1715000,3,1
Surrey Hills,46 Durham Rd,1715000,3,1
Essendon,7 Alfred Rd,1715000,3,1
Hawthorn,16 Pine St,1712000,3,1
Ashburton,9 Gona Ct,1710000,3,1
Glen Iris,33A Scott Gr,1710000,3,1
Essendon,66 Roberts St,1710000,3,1
Brunswick East,77 Clarence St,1710000,3,1
Richmond,3 Survey St,1710000,3,1
Fitzroy North,256 Park St,1710000,3,1
Ormond,4 Thompson St,1708000,3,1
Heidelberg,95 Rosanna Rd,1705000,3,1
Fitzroy North,40 Newry St,1705000,3,1
Brighton East,15 Trinity Ct,1705000,3,1
Hawthorn,342 Auburn Rd,1702000,3,1
Doncaster East,34 Roger St,1701000,3,1
Camberwell,808 Riversdale Rd,1700000,3,1
South Yarra,366 Toorak Rd,1700000,3,1
South Melbourne,14 Ward St,1700000,3,1
Kew East,38 Bennett Pde,1700000,3,1
Glen Iris,2A Netherlee St,1700000,3,1
Bentleigh East,5 Charles St,1700000,3,1
Brighton East,12 Henry St,1700000,3,1
Glen Waverley,11 The Ridge,1700000,3,1
Fitzroy North,83 Holden St,1700000,3,1
Glen Iris,57 Brandon St,1699000,3,1
Essendon,131 Bradshaw St,1695000,3,1
Richmond,36 Elm Gr,1695000,3,1
Box Hill,43 Court St,1693000,3,1
Glen Iris,20 Madeline St,1690000,3,1
Toorak,16 Tashinny Rd,1689000,3,1
Glen Iris,33 Welfare Pde,1688000,3,1
Hampton,70 Teddington Rd,1682000,3,1
Balaclava,16 Grosvenor St,1680000,3,1
Northcote,48 Barry St,1676000,3,1
Richmond,7 Benson St,1676000,3,1
Elwood,146 Ormond Rd,1675000,3,1
Beaumaris,61 Cromer Rd,1674000,3,1
Camberwell,5 Barkly St,1670000,3,1
Ormond,1 Blackshaw St,1668000,3,1
Malvern East,66 Millewa Av,1667000,3,1
Glen Iris,21 Beatrice St,1665000,3,1
Pascoe Vale,1 Hazel Gr,1663000,3,1
Carlton,40 Carlton St,1662000,3,1
Glen Iris,423 Burke Rd,1660000,3,1
Clifton Hill,72 Ramsden St,1660000,3,1
Ashburton,45 Yuile St,1655000,3,1
Fitzroy North,11 Freeman St,1655000,3,1
Port Melbourne,282 Ross St,1655000,3,1
Clifton Hill,487 Hoddle St,1652500,3,1
Brunswick,129 Glenlyon Rd,1652000,3,1
Balwyn North,11 Milfay Ct,1651000,3,1
Prahran,43 Highbury Gr,1651000,3,1
Ivanhoe East,21 Wilfred Rd,1651000,3,1
Ashburton,19 Poulter St,1650000,3,1
Brunswick,52 Evans St,1650000,3,1
Malvern East,23 Darling Rd,1650000,3,1
Preston,287 Tyler St,1650000,3,1
Hawthorn East,20 Stewart St,1650000,3,1
Malvern,1219 Malvern Rd,1650000,3,1
Prahran,22 Irving Av,1650000,3,1
Bentleigh East,7 Murrong Av,1650000,3,1
Prahran,576 High St,1646000,3,1
Murrumbeena,12 Omama Rd,1641000,3,1
Bentleigh East,4 Box Ct,1640000,3,1
Brighton East,6 Coronation St,1640000,3,1
Ivanhoe East,8 Carmichael St,1640000,3,1
Bentleigh,11 Buckingham Av,1640000,3,1
Elwood,20 Addison St,1640000,3,1
South Yarra,6 Fitzgerald St,1640000,3,1
Malvern East,26 Millewa Av,1638000,3,1
Brighton,18 Rooding St,1635000,3,1
Kew,13 Annadale St,1635000,3,1
Toorak,232 Williams Rd,1635000,3,1
Toorak,1 Grosvenor Ct,1635000,3,1
Brighton East,40 Hodder St,1635000,3,1
Abbotsford,143 Charles St,1635000,3,1
Mount Waverley,37 Waimarie Dr,1635000,3,1
Ascot Vale,5 Moonee St,1635000,3,1
Middle Park,129 Hambleton St,1630000,3,1
Bentleigh,31 Cushing Av,1630000,3,1
Carlton North,673 Canning St,1628000,3,1
Hawthorn East,43 Mayston St,1625000,3,1
Fitzroy North,106 Newry St,1625000,3,1
Camberwell,37 Kalang Rd,1625000,3,1
Carnegie,3 Oakleigh Rd,1620000,3,1
Essendon,15 Robb St,1620000,3,1
Alphington,31 Broomfield Av,1620000,3,1
Ashburton,55 Warner Av,1620000,3,1
Bentleigh East,14 John St,1617000,3,1
Camberwell,2/1 Glen Iris Rd,1615000,3,1
Kew East,96 Kilby Rd,1615000,3,1
Hampton,82 Highett Rd,1615000,3,1
Mount Waverley,3 Rowan Ct,1615000,3,1
Brunswick East,22 Lowan St,1615000,3,1
Carlton North,408 Canning St,1614500,3,1
Ivanhoe,22 Hawker St,1611000,3,1
Hampton,11 Kerferd St,1610000,3,1
Northcote,13 Vauxhall Rd,1610000,3,1
Northcote,120 Darebin Rd,1610000,3,1
Eaglemont,35 Glenard Dr,1610000,3,1
Parkdale,6 Elm Gr,1610000,3,1
Moonee Ponds,15 Newhall Av,1610000,3,1
Elsternwick,275 Kooyong Rd,1605000,3,1
Ivanhoe East,24 Flora Gr,1605000,3,1
Northcote,14 Wardrop Gr,1605000,3,1
Bentleigh,42 London St,1605000,3,1
Camberwell,6 Wilson Gr,1602500,3,1
Eaglemont,34 Durham St,1601000,3,1
Glen Iris,28 Martin Rd,1601000,3,1
Ashburton,9 Ward St,1600000,3,1
Fitzroy North,264 Barkly St,1600000,3,1
Brunswick East,192 Blyth St,1600000,3,1
McKinnon,282 Jasper Rd,1600000,3,1
Doncaster,1 Curnola Av,1600000,3,1
Richmond,57 Type St,1590000,3,1
Northcote,78 Jenkins St,1590000,3,1
Balwyn North,10 Columba St,1590000,3,1
Murrumbeena,5 Packer St,1590000,3,1
Canterbury,33 Myrtle Rd,1587500,3,1
Mount Waverley,34 Park La,1586000,3,1
Northcote,32 Candy St,1585000,3,1
Fitzroy North,168 Scotchmer St,1581000,3,1
Surrey Hills,63 Russell St,1580000,3,1
Carlton North,679 Station St,1580000,3,1
West Footscray,107 Alma St,1575000,3,1
Hawthorn East,21 Broomfield Rd,1575000,3,1
Williamstown North,27 Champion Rd,1575000,3,1
Ashwood,33 Douglas St,1575000,3,1
Princes Hill,101 Paterson St,1575000,3,1
Surrey Hills,5 Anderson St,1571000,3,1
Caulfield South,5 Sycamore St,1570000,3,1
Richmond,239 Punt Rd,1570000,3,1
Essendon,6 Cudmore St,1570000,3,1
Kew,7 Gladstone St,1565000,3,1
Port Melbourne,139 Cruikshank St,1565000,3,1
Murrumbeena,12 Lydson St,1561000,3,1
Bentleigh East,45 Browns Rd,1560000,3,1
Hampton,10 Valerian St,1560000,3,1
Mount Waverley,11 Robin Gr,1560000,3,1
Balwyn North,51 Clifton St,1560000,3,1
Richmond,32 Cameron St,1555000,3,1
Ashburton,69 Gloucester Rd,1555000,3,1
Hawthorn,24 College St,1551000,3,1
Bentleigh East,18 May St,1550000,3,1
Brunswick,19 Horne St,1550000,3,1
Essendon,103 Woodland St,1550000,3,1
Strathmore,23 Wendora St,1550000,3,1
Alphington,44 Naroon Rd,1540000,3,1
Carlton North,593 Canning St,1540000,3,1
Richmond,12 Longfield St,1540000,3,1
Ormond,45 Holloway St,1540000,3,1
Abbotsford,200 Vere St,1540000,3,1
Ivanhoe,33 Livingstone St,1535000,3,1
Williamstown,54 Twyford St,1535000,3,1
Ormond,16 Sherwood St,1535000,3,1
Essendon North,18 Royal Av,1535000,3,1
Fitzroy,157 Rose St,1535000,3,1
Fairfield,123 Gillies St,1535000,3,1
Bentleigh,17 Ardwick St,1532000,3,1
Balwyn North,432 Balwyn Rd,1530500,3,1
Glen Iris,48 Alfred Rd,1530000,3,1
Prahran,6 Irene Pl,1530000,3,1
Newport,58 Alma Tce,1530000,3,1
Mount Waverley,23 Baily St,1530000,3,1
Mount Waverley,18 Malcolm Ct,1530000,3,1
Blackburn,31 Stanley Gr,1530000,3,1
Richmond,18 Yorkshire St,1530000,3,1
Burwood,14 Cumming St,1530000,3,1
Thornbury,12 Harold St,1530000,3,1
Murrumbeena,19 Burns Av,1530000,3,1
Balwyn North,438 Balwyn Rd,1530000,3,1
Richmond,37 Crown St,1530000,3,1
Thornbury,2 Bradley Av,1530000,3,1
Bentleigh,16 McKittrick Rd,1526000,3,1
Balwyn North,66 Almond St,1520000,3,1
Richmond,5 Union St,1520000,3,1
Northcote,205 Mitchell St,1516000,3,1
Middle Park,50 Park Rd,1515000,3,1
Ascot Vale,26 Nairn Av,1513000,3,1
Northcote,205 Clarke St,1512000,3,1
Brunswick,28 Frederick St,1510000,3,1
Bentleigh East,13 Delma St,1510000,3,1
Ivanhoe,62 Hawker St,1510000,3,1
Bentleigh,152 Patterson Rd,1510000,3,1
Albert Park,96 Danks St,1505000,3,1
Brunswick,141 Edward St,1505000,3,1
Doncaster East,4 Regal Av,1505000,3,1
Blackburn,1 Orana St,1505000,3,1
Templestowe Lower,6 Jean St,1503500,3,1
Brighton,868 Hampton St,1502000,3,1
Fitzroy North,37 Woodside St,1502000,3,1
Altona,49 Bent St,1500000,3,1
Ashburton,4 Baker Pde,1500000,3,1
Balwyn North,141 Greythorn Rd,1500000,3,1
Fairfield,189 Rathmines St,1500000,3,1
Glen Iris,45 Charles St,1500000,3,1
Glen Iris,8 Rix St,1500000,3,1
Malvern East,558 Waverley Rd,1500000,3,1
Bentleigh,10 Luckins Rd,1500000,3,1
Brunswick East,7 Weigall St,1500000,3,1
Clifton Hill,42 Grant St,1500000,3,1
Essendon,126 Market St,1500000,3,1
Burwood,5 Everest Ct,1500000,3,1
Hawthorn,20 Henry St,1500000,3,1
Brunswick East,215 Weston St,1495000,3,1
Williamstown,3 Garden St,1494000,3,1
Malvern East,9 Chanak St,1490000,3,1
Balwyn North,66 Ursa St,1490000,3,1
Blackburn,11 Hirst St,1490000,3,1
Fitzroy North,853 Brunswick St,1490000,3,1
Doncaster,27 Buckingham Cr,1490000,3,1
Moonee Ponds,34 Wilson St,1490000,3,1
Caulfield South,13 Sycamore St,1490000,3,1
Ivanhoe,171 Waterdale Rd,1486000,3,1
North Melbourne,5 Murphy St,1485000,3,1
Doncaster East,11 Avocet St,1482000,3,1
Highett,30 Rose St,1482000,3,1
Hawthorn,23 Elgin St,1480000,3,1
Moonee Ponds,38 Addison St,1480000,3,1
Mordialloc,79 Barkly St,1480000,3,1
Ivanhoe,128 Green St,1475000,3,1
Northcote,26 Hayes St,1474000,3,1
Essendon,101 McCracken St,1470000,3,1
Kensington,14 Hardiman St,1470000,3,1
Port Melbourne,89 Cruikshank St,1470000,3,1
Murrumbeena,11 Perth St,1470000,3,1
Williamstown,40 Queen St,1470000,3,1
Mount Waverley,11 Rosaline Av,1470000,3,1
Burwood,3 Peacock St,1468000,3,1
Balaclava,17 Brunning St,1467500,3,1
Ivanhoe,5 Stanley St,1465000,3,1
Pascoe Vale,3 Hazel Gr,1465000,3,1
Essendon,13 Wright St,1465000,3,1
Clayton,25 Panorama St,1462000,3,1
Burwood,21 Iris St,1461000,3,1
Burwood,10 Hastings St,1460000,3,1
Caulfield South,5 Alder St,1460000,3,1
Chadstone,15 Grandview Rd,1460000,3,1
Maribyrnong,101 Raleigh Rd,1460000,3,1
Williamstown,98 Osborne St,1460000,3,1
Clifton Hill,15 Caroline St,1460000,3,1
Hawthorn,9 Randolph St,1460000,3,1
West Melbourne,34 Miller St,1460000,3,1
Fitzroy North,66 Rowe St,1460000,3,1
Williamstown,59 Albert St,1460000,3,1
Mount Waverley,27 Pascall St,1460000,3,1
